,State,No of Districts,Rolled out Districts,No. Of Launched eServices
0,Andaman & Nicobar Islands,3,3,64
1,Andhra Pradesh,13,13,50
2,Arunachal Pradesh,26,26,17
3,Assam,34,34,46
4,Bihar,38,38,89
5,Chandigarh,1,1,22
6,Chhattisgarh,28,28,129
7,Dadra & Nagar Haveli and Daman & Diu,1,1,43
8,Dadra & Nagar Haveli and Daman & Diu,2,2,0
9,Goa,2,2,114
10,Gujarat,33,33,298
11,Haryana,22,22,549
12,Himachal Pradesh,12,12,96
13,Jammu & Kashmir,22,0,0
14,Jharkhand,24,24,32
15,Karnataka,31,31,798
16,Kerala,14,14,45
17,Lakshadweep,1,1,38
18,Madhya Pradesh,52,52,313
19,Maharashtra,36,36,389
20,Manipur,16,16,35
21,Meghalaya,11,11,20
22,Mizoram,8,8,31
23,Nagaland,11,11,30
24,NCT of Delhi,11,11,87
25,Odisha,30,30,13
26,Puducherry,4,4,72
27,Punjab,22,22,42
28,Rajasthan,33,33,500
29,Sikkim,6,6,22
30,Tamil Nadu,38,38,134
31,Telangana,31,31,47
32,Tripura,8,8,57
33,Uttar Pradesh,75,75,258
34,Uttarakhand,13,13,32
35,West Bengal,23,23,159
