,highest_education_attained,highest_education_attained,highest_education_attained
,mean,median,std
state_name,,,
A & N Islands,5.669448183041723,5.0,3.2463924042916914
Andhra Pradesh,4.45885786727203,4.0,3.462681422257497
Arunachal Pradesh,5.1196284053345495,5.0,3.347524744311257
Assam,4.733329813631804,5.0,2.753995433375921
Bihar,4.011612171961925,3.0,3.0936017436875662
Chandigarh,6.547955974842767,6.0,3.8106041050890176
Chhattisgarh,4.783731170336037,4.0,3.3182517869657593
Daman & Diu and D&N Haveli,4.741948975324132,5.0,2.842724142679041
Delhi,6.611275964391691,6.0,3.780371547810558
Goa,6.024305555555555,6.0,3.35483364997265
Gujarat,4.775928907973997,4.0,3.2163273040032174
Haryana,5.311517229842757,5.0,3.6032974605174766
Himachal Pradesh,5.858257477243173,6.0,3.474343532754242
Jammu & Kashmir,5.090389360293675,5.0,3.4917041375400166
Jharkhand,4.429342659242157,4.0,3.149808201680599
Karnataka,4.999711328302198,5.0,3.4081673969512605
Kerala,5.892200426285178,5.0,3.1866793178568833
Ladakh,5.164598842018197,5.0,3.3527957763241725
Lakshadweep,5.442697414395528,5.0,2.953567169864256
Madhya Pradesh,4.614311231889589,4.0,3.359769495572196
Maharashtra,5.400806485487462,5.0,3.4399111518813363
Manipur,5.925159733702694,6.0,3.4762030439758433
Meghalaya,4.791785649188894,4.0,2.9948861650011875
Mizoram,6.678871473354232,6.0,3.2471615166190326
Nagaland,5.371925572110929,5.0,3.006583681914368
Odisha,4.449169028958924,4.0,3.1289088508762943
Puducherry,6.28813104189044,6.0,3.654124842159533
Punjab,5.207511365882586,5.0,3.224413749482496
Rajasthan,4.400625594161121,4.0,3.398380437193452
Sikkim,5.665639049454079,5.0,3.067681601258011
Tamil Nadu,5.436656526266359,5.0,3.604158612722607
Telangana,5.15873411412908,5.0,3.78193065365146
Tripura,4.774281454059334,5.0,2.8362615636994892
Uttar Pradesh,4.57208531949163,4.0,3.4936702476006802
Uttarakhand,5.442278222373574,5.0,3.554781580448684
West Bengal,4.781501651121024,4.0,3.1081201183817924
